,Name,Handedness,Height,Weight,Batting Average (Hits/at bat),HR,BMI,State,Ave
1,Tom Brown,Right Handed,73,170,0,0,22.4756927788818,Normal,0.20~0.30
2,Denny Lemaster,Right Handed,73,182,0.13,4,24.0622122691558,Normal,0.20~0.30
3,Joe Nolan,Left Handed,71,175,0.263,27,24.4585798724175,Normal,0.20~0.30
4,Denny Doyle,Left Handed,69,175,0.25,16,25.8970176720976,Overweight,0.20~0.30
5,Jose Cardenal,Right Handed,70,150,0.275,138,21.5677611318117,Normal,0.20~0.30
6,Mike Ryan,Right Handed,74,205,0.193,28,26.375476085835,Overweight,0.20~0.30
7,Fritz Peterson,Both Handed,72,185,0.159,2,25.1429725642841,Overweight,0.20~0.30
8,Dick Bertell,Right Handed,72,200,0.25,10,27.1815919613882,Overweight,0.20~0.30
9,Rod Kanehl,Right Handed,73,180,0.241,6,23.7977923541101,Normal,0.20~0.30
10,Ozzie Osborn,Right Handed,74,195,0,0,25.088867496282,Overweight,0.20~0.30
11,John LaRose,Left Handed,73,185,0,0,24.4588421417243,Normal,0.20~0.30
12,Jeff Byrd,Right Handed,75,195,0,0,24.424291272825,Normal,0.20~0.30
13,Juan Bonilla,Right Handed,69,170,0.256,7,25.1571028814663,Overweight,0.20~0.30
14,Frank Tepedino,Left Handed,71,185,0.241,6,25.8562130079842,Overweight,0.20~0.30
15,Jerry Kutzler,Left Handed,73,175,0,0,23.1367425664959,Normal,0.20~0.30
16,Rick Wise,Right Handed,73,180,0.195,15,23.7977923541101,Normal,0.20~0.30
17,Darrell Evans,Left Handed,74,200,0.248,414,25.7321717910585,Overweight,0.20~0.30
18,Buck Martinez,Right Handed,70,190,0.225,58,27.3191641002948,Overweight,0.20~0.30
19,John Wockenfuss,Right Handed,72,190,0.262,86,25.8225123633188,Overweight,0.20~0.30
20,Tommy McCraw,Left Handed,72,183,0.246,75,24.8711566446702,Normal,0.20~0.30
21,Jeff Barkley,Both Handed,75,185,0,0,23.1717635152442,Normal,0.20~0.30
22,Eric Wilkins,Right Handed,73,190,0,0,25.1198919293384,Overweight,0.20~0.30
23,Britt Burns,Left Handed,77,215,0,0,25.5485875666089,Overweight,0.20~0.30
24,Lee Lacy,Right Handed,73,175,0.286,91,23.1367425664959,Normal,0.20~0.30
25,Pete Rose,Both Handed,71,192,0.303,160,26.834556202881,Overweight,Above 0.30
26,Danny Walton,Right Handed,72,195,0.223,28,26.5020521623535,Overweight,0.20~0.30
27,Bobby Cox,Right Handed,71,180,0.225,9,25.1573964402009,Overweight,0.20~0.30
28,Brad Wellman,Right Handed,72,170,0.231,6,23.1043531671799,Normal,0.20~0.30
29,Jeff Newman,Right Handed,74,215,0.224,63,27.6620846753879,Overweight,0.20~0.30
30,Pedro Gonzalez,Right Handed,72,176,0.244,8,23.9198009260216,Normal,0.20~0.30
31,Nardi Contreras,Right Handed,74,193,0,0,24.8315457783714,Normal,0.20~0.30
32,Tommie Reynolds,Right Handed,74,190,0.226,12,24.4455632015056,Normal,0.20~0.30
33,Gene Clines,Right Handed,69,170,0.277,5,25.1571028814663,Overweight,0.20~0.30
34,Jim Hickman,Right Handed,75,192,0.252,159,24.0485329455507,Normal,0.20~0.30
35,Jack Billingham,Right Handed,76,195,0.111,0,23.7857753479294,Normal,0.20~0.30
36,Jerry Buchek,Right Handed,71,185,0.22,22,25.8562130079842,Overweight,0.20~0.30
37,Ivan DeJesus,Right Handed,71,175,0.254,21,24.4585798724175,Normal,0.20~0.30
38,Gary Nolan,Right Handed,74,197,0.138,1,25.3461892141926,Overweight,0.20~0.30
39,Gil Patterson,Right Handed,73,185,0,0,24.4588421417243,Normal,0.20~0.30
40,Fred Whitfield,Left Handed,73,190,0.253,108,25.1198919293384,Overweight,0.20~0.30
41,Larry Dierker,Right Handed,76,215,0.136,4,26.2253420502812,Overweight,0.20~0.30
42,Dave Skaggs,Right Handed,74,200,0.241,3,25.7321717910585,Overweight,0.20~0.30
43,Dick Ruthven,Right Handed,75,190,0.183,1,23.7980273940346,Normal,0.20~0.30
44,Jerry Garvin,Left Handed,75,195,0,0,24.424291272825,Normal,0.20~0.30
45,Steve Eddy,Right Handed,74,185,0,0,23.8022589067291,Normal,0.20~0.30
46,Dave Kingman,Right Handed,78,210,0.236,442,24.3186787252183,Normal,0.20~0.30
47,Eric Soderholm,Right Handed,71,187,0.264,102,26.1357396350976,Overweight,0.20~0.30
48,Kevin Mmahat,Left Handed,77,220,0,0,26.1427407658323,Overweight,0.20~0.30
49,Ed Brinkman,Right Handed,72,170,0.224,60,23.1043531671799,Normal,0.20~0.30
50,Wayne Garrett,Left Handed,71,175,0.239,61,24.4585798724175,Normal,0.20~0.30
